Creating OBB and QBB count file...
ultralytics/solutions/object_counter.py: OBB=0, QBB=0
ultralytics/solutions/__init__.py: OBB=0, QBB=0
ultralytics/solutions/ai_gym.py: OBB=0, QBB=0
ultralytics/solutions/distance_calculation.py: OBB=0, QBB=0
ultralytics/solutions/analytics.py: OBB=0, QBB=0
ultralytics/solutions/config.py: OBB=0, QBB=0
ultralytics/solutions/object_blurrer.py: OBB=0, QBB=0
ultralytics/solutions/streamlit_inference.py: OBB=1, QBB=1
ultralytics/solutions/speed_estimation.py: OBB=0, QBB=0
ultralytics/solutions/heatmap.py: OBB=0, QBB=0
ultralytics/solutions/parking_management.py: OBB=0, QBB=0
ultralytics/solutions/similarity_search.py: OBB=0, QBB=0
ultralytics/solutions/object_cropper.py: OBB=0, QBB=0
ultralytics/solutions/vision_eye.py: OBB=0, QBB=0
